River,Point bar designation,CB name,State/Province/ Region,Basin or Location,Country,Continent,Designation,Latitude,Longitude,Age,Abandonment type,Channel-belt Character,Accretion dominance,No of channels,Channel Length (m),Channel width (m),Channel Area (km2),Channel W/T,Bar Area (km2),Amplitude (m),CB Width (2x Amplitude - m),Measured Channel-belt Width (m),Channel-belt 1/2 wavelength (m),Meander wavelength (2x 1/2 lambd,Long axis Length (m),Short Axis Length (m),Thickness (m),CB W/T,"CB
wavelength
/ thickness","CB 1/2
wavelength / amplitude",Bankfull Thickness Type,Mean Bankfull thickness (m),Maximum Bankfull thickness (m),Intermediate Bankfull Thickness (m),Eddy Accretion thickness (m),Contributing Drainage Area (km2),Contributing Drainage Basin Length - (km),Drainage Basin Length to CB from Baselevel (km),Valley Slope (*10-3),Channel Slope (*10-3),Sinuosity,Channel Distance from baselevel (km),Max catchment Relief (km),"Q
(bankfull) cms","Koeppen _ Climate
_class_ pointbar",Koeppen Climate class_ pointbar_simplified,"Koeppen climate_ class_simplified
_ptbar_wet/dry",Sources
Mississippi (USA),Baton Rouge,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.447,-91.209,Holocene,avulsion,Single Thread,Lateral - Translation,1,,1000,,27,,5700,11400,10472,8400,16800,,,37,312,459,1.47,mean,37,,,,"3,194,756","3,274",,0.03,0.02,1.8,326.4,4.4,,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),White Castle,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.125,-90.982,Holocene,avulsion,Single Thread,Lateral - Translation,1,,930,,24,,4000,8000,7310,9386,18772,,,38,210,493,2.35,mean?,38,,,,"3,194,756","3,298",,0.03,0.02,1.8,302.4,4.4,,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),White Castle,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.180,-91.048,Holocene,avulsion,Single Thread,Downstream,1,,930,,23,,2245,4490,7310,6511,13022,,,41,109,316,2.90,maximum,,41,,,"3,194,756","3,315",,0.03,0.02,1.8,284.8,4.4,,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Donaldsonville,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.081,-90.892,Holocene,avulsion,Single Thread,Downstream,1,,790,,19,,1700,3400,4545,6221,12442,,,43,80,292,3.66,mean,43,,,,"3,194,756","3,331",,0.03,0.02,1.8,268.8,4.4,,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Hahnville,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.946,-90.330,Holocene,avulsion,Single Thread,Downstream,1,,600,,18,,867,1734,3946,7340,14680,,,33,53,447,8.47,mean,26,,,,"3,194,756","3,410",,0.01,0.01,1.5,190,4.4,,Cfa,warm temperate,humid,"May et al., 1984; Fisk, 1952"
Mississippi (USA),New Orleans,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.925,-90.097,Holocene,avulsion,Single Thread,Downstream,1,,700,,21,,1370,2740,5334,7150,14300,,,33,84,436,5.22,maximum,,33,,,"3,194,756","3,441",,0.01,0.01,1.5,159,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Mississippi (USA),PointAlaHache,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.553,-89.780,Holocene,avulsion,Single Thread,Downstream,1,,975,,30,,373,746,1731,5903,11806,,,33,23,357,15.83,mean,33,,,,"3,194,756","3,523",,0.00,0.00,1.2,77,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Mississippi (USA),BlackBay,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.531,-89.734,Holocene,avulsion,Single Thread,Downstream,1,,406,,10,,554,1108,2921,3500,7000,,,39,28,178,6.32,intermediate,,,39,,"3,194,756","3,530",,0.00,0.00,1.2,70,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Mississippi (USA),Empire,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.439,-89.616,Holocene,avulsion,Single Thread,Downstream,1,,950,,21,,1361,2722,3658,4475,8950,,,46,59,195,3.29,maximum,,46,,,"3,194,756","3,546",,0.00,0.00,1.2,54,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Mississippi Delta,53323,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.461,-90.253,Holocene,Backfill,Distributary,Vertical,1,,240,,13,,240,240,,2899,5798,,,19,13,312,12.08,mean,19,,,,"3,194,756","3,600",,,,,-66,,,,,,"Saucier, 1994"
Mississippi Delta,78097,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.177,-90.766,Holocene,Backfill,Distributary,Vertical,1,,148,,10,,148,148,,954,1908,,,15,10,128,6.45,mean,15,,,,"3,194,756","3,600",,,,,-68,,,,,,"Saucier, 1994"
Mississippi Delta,78097,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.177,-90.766,Holocene,Backfill,Distributary,Vertical,1,,65,,12,,65,65,,954,1908,,,5,12,357,14.68,mean,5,,,,"3,194,756","3,600",,,,,-68,,,,,,"Saucier, 1994"
Mississippi Delta,130615,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.185,-90.902,Holocene,Backfill,Distributary,Vertical,1,,223,,9,,223,223,,,,,,26,9,0,0.00,mean,26,,,,"3,194,756","3,600",,,,,-68,,,,,,"Saucier, 1994"
Mississippi Delta,C108,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.690,-90.604,Holocene,Backfill,Distributary,Vertical,1,,500,,26,,500,500,,2592,5184,,,19,26,267,5.18,mean,19,,,,"3,194,756","3,600",,,,,-25,,,,,,"Saucier, 1994"
Mississippi Delta,12E,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.558,-90.325,Holocene,Backfill,Distributary,Vertical,1,,78,,6,,78,78,,,,,,12,6,0,0.00,mean,12,,,,"3,194,756","3,600",,,,,-56,,,,,,"Saucier, 1994"
Mississippi Delta,24AD,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.436,-90.396,Holocene,Backfill,Distributary,Vertical,1,,140,,10,,140,140,,1537,3074,,,15,10,211,10.98,mean,15,,,,"3,194,756","3,600",,,,,-57,,,,,,"Saucier, 1994"
Mississippi Delta,3LUW,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.571,-90.381,Holocene,Backfill,Distributary,Vertical,1,,222,,9,,222,222,,2543,5086,,,24,9,209,11.45,mean,24,,,,"3,194,756","3,600",,,,,-50,,,,,,"Saucier, 1994"
Mississippi Delta,6A,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.526,-90.407,Holocene,Backfill,Distributary,Vertical,1,,98,,8,,98,98,,933,1866,,,12,8,157,9.52,mean,12,,,,"3,194,756","3,600",,,,,-50,,,,,,"Saucier, 1994"
Mississippi Delta,AS6,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.923,-91.216,Holocene,Backfill,Distributary,Vertical,1,,89,,9,,89,89,,,,,,9,9,0,0.00,mean,9,,,,"3,194,756","3,600",,,,,41,,,,,,"Saucier, 1994"
Mississippi Delta,C108,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.964,-91.104,Holocene,Backfill,Distributary,Vertical,1,,122,,10,,122,122,,1526,3052,,,12,10,246,12.51,mean,12,,,,"3,194,756","3,600",,,,,-24,,,,,,"Saucier, 1994"
Mississippi Delta,C131,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.689,-90.639,Holocene,Backfill,Distributary,Vertical,1,,444,,18,,444,444,,,,,,24,18,0,0.00,mean,24,,,,"3,194,756","3,600",,,,,-21,,,,,,"Saucier, 1994"
Mississippi Delta,C218,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.679,-90.783,Holocene,Backfill,Distributary,Vertical,1,,263,,9,,263,263,,1715,3430,,,29,9,117,6.52,mean,29,,,,"3,194,756","3,600",,,,,-14,,,,,,"Saucier, 1994"
Mississippi Delta,CH61,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.682,-90.829,Holocene,Backfill,Distributary,Vertical,1,,389,,15,,389,389,,3393,6786,,,26,15,258,8.72,mean,26,,,,"3,194,756","3,600",,,,,-13,,,,,,"Saucier, 1994"
Mississippi Delta,CV18,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.411,-90.551,Holocene,Backfill,Distributary,Vertical,1,,245,,8,,245,245,,2815,5630,,,31,8,182,11.49,mean,31,,,,"3,194,756","3,600",,,,,-50,,,,,,"Saucier, 1994"
Mississippi Delta,CV22,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.392,-90.587,Holocene,Backfill,Distributary,Vertical,1,,209,,7,,209,209,,1909,3818,,,31,7,123,9.13,mean,31,,,,"3,194,756","3,600",,,,,-50,,,,,,"Saucier, 1994"
Mississippi Delta,CV22`,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.392,-90.587,Holocene,Backfill,Distributary,Vertical,1,,222,,7,,222,222,,1909,3818,,,31,7,124,8.60,mean,31,,,,"3,194,756","3,600",,,,,-50,,,,,,"Saucier, 1994"
Mississippi Delta,E202,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.689,-90.651,Holocene,Backfill,Distributary,Vertical,1,,134,,10,,134,134,,1074,2148,,,14,10,155,8.01,mean,14,,,,"3,194,756","3,600",,,,,-20,,,,,,"Saucier, 1994"
Mississippi Delta,E212,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.687,-90.702,Holocene,Backfill,Distributary,Vertical,1,,116,,9,,116,116,,1433,2866,,,13,9,218,12.35,mean,13,,,,"3,194,756","3,600",,,,,-17,,,,,,"Saucier, 1994"
Mississippi Delta,EWT2,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.989,-91.038,Holocene,Backfill,Distributary,Vertical,1,,600,,19,,600,600,,4807,9614,,,32,19,300,8.01,mean,32,,,,"3,194,756","3,600",,,,,30,,,,,,"Saucier, 1994"
Mississippi Delta,GC3,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.695,-90.544,Holocene,Backfill,Distributary,Vertical,1,,130,,8,,130,130,,2394,4788,,,17,8,284,18.42,mean,17,,,,"3,194,756","3,600",,,,,-64,,,,,,"Saucier, 1994"
Mississippi Delta,GL1,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.465,-90.292,Holocene,Backfill,Distributary,Vertical,1,,129,,10,,129,129,,3852,7704,,,13,10,613,29.86,mean,13,,,,"3,194,756","3,600",,,,,-64,,,,,,"Saucier, 1994"
Mississippi Delta,GL3,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.466,-90.270,Holocene,Backfill,Distributary,Vertical,1,,186,,11,,186,186,,3734,7468,,,17,11,447,20.08,mean,17,,,,"3,194,756","3,600",,,,,-64,,,,,,"Saucier, 1994"
Mississippi Delta,HC1A,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.399,-90.613,Holocene,Backfill,Distributary,Vertical,1,,221,,7,,221,221,,3181,6362,,,31,7,203,14.39,mean,31,,,,"3,194,756","3,600",,,,,-52,,,,,,"Saucier, 1994"
Mississippi Delta,HC8,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.442,-90.702,Holocene,Backfill,Distributary,Vertical,1,,250,,8,,250,250,,4228,8456,,,30,8,278,16.91,mean,30,,,,"3,194,756","3,600",,,,,-41,,,,,,"Saucier, 1994"
Mississippi Delta,HC8,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.442,-90.702,Holocene,Backfill,Distributary,Vertical,1,,240,,8,,240,240,,4248,8496,,,31,8,276,17.70,mean,31,,,,"3,194,756","3,600",,,,,-41,,,,,,"Saucier, 1994"
Mississippi Delta,LR1,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.799,-90.822,Holocene,Backfill,Distributary,Vertical,1,,629,,16,,629,629,,,,,,39,16,0,0.00,mean,39,,,,"3,194,756","3,600",,,,,1,,,,,,"Saucier, 1994"
Mississippi Delta,LS-1,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.458,-90.310,Holocene,Backfill,Distributary,Vertical,1,,401,,13,,401,401,,2921,5842,,,30,13,193,7.28,mean,30,,,,"3,194,756","3,600",,,,,-63,,,,,,"Saucier, 1994"
Mississippi Delta,WM3,Lafourche,Louisiana,GOM,USA,NA,Mississippi_Gulf Basin,29.691,-90.551,Holocene,Backfill,Distributary,Vertical,1,,503,,15,,503,503,,2961,5922,,,34,15,175,5.89,mean,34,,,,"3,194,756","3,600",,,,,-29,,,,,,"Saucier, 1994"
Misssissippi_Teche,St martinsville - I-9,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.056,-91.842,Holocene,cut-off,Single Thread,Lateral,1,,1002,,23,,5200,10400,15168,2482,4964,,,43,244,116,0.48,intermediate,,,43,,"3,194,756","3,355",,0.04,0.02,1.8,245,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Moureauville,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,31.123,-91.888,Holocene,cut-off,Single Thread,Lateral,1,,739,,27,,7800,15600,,7596,15192,,,27,569,554,0.97,intermediate,,,27,,"3,194,756","3,092",,0.06,0.03,1.8,508,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Odenburg - WW4,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.925,-91.972,Holocene,cut-off,Single Thread,Lateral,1,,593,,30,,2522,5044,,2775,5550,,,20,255,280,1.10,mean,20,,,,"3,194,756","3,142",,0.06,0.03,1.8,458,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Odenburg_SL175,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.813,-91.887,Holocene,cut-off,Single Thread,Lateral,1,,593,,22,,9890,19780,,3384,6768,,,27,721,247,0.34,maximum,,27,,,"3,194,756","3,166",,0.06,0.03,1.8,434,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Palmetto _M1,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.703,-91.846,Holocene,cut-off,Single Thread,Lateral,1,,757,,26,,7271,14542,,3566,7132,,,29,502,246,0.49,maximum,,27,,,"3,194,756","3,200",,0.05,0.03,1.8,400,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Arnaudville - SL222,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.396,-91.963,Holocene,cut-off,Single Thread,Lateral,1,,664,,17,,3880,7760,14712,3366,6732,,,40,196,170,0.87,intermediate,,,40,,"3,194,756","3,267",,0.04,0.02,1.8,333,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Arnaudville - SMN 133,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.275,-91.855,Holocene,cut-off,Single Thread,Lateral,1,,829,,22,,4600,9200,14712,2199,4398,,,38,241,115,0.48,intermediate,,,38,,"3,194,756","3,295",,0.04,0.02,1.8,305,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,St martinsville - B-7,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.703,-91.846,Holocene,cut-off,Single Thread,Lateral,1,,1175,,27,,6000,12000,15168,4330,8660,,,44,272,196,0.72,maximum,,44,,,"3,194,756","3,304",,0.04,0.02,1.8,296,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,St Martinsvile - SMN_121,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.177,-91.847,Holocene,cut-off,Single Thread,?,1,,619,,15,,2375,4750,15168,4399,8798,,,43,111,206,1.85,maximum,,43,,,"3,194,756","3,323",,0.04,0.02,1.8,277,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,St Martinsvillle - S1028,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.065,-91.796,Holocene,cut-off,Single Thread,Lateral,1,,650,,15,,4500,9000,15168,1860,3720,,,43,211,87,0.41,intermediate,,,43,,"3,194,756","3,338",,0.04,0.02,1.8,262,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,jeanerette,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.872,-91.543,Holocene,avulsion,Single Thread,Lateral - Translation,1,,653,,17,,2297,4594,6484,5239,10478,,,38,121,275,2.28,maximum,,38,,,"3,194,756","3,395",,0.03,0.02,1.2,205,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Centerville,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.828,-91.471,Holocene,avulsion,Single Thread,Lateral - Translation,1,,628,,16,,1459,2918,7233,3337,6674,,,40,74,168,2.29,maximum,,40,,,"3,194,756","3,412",,0.02,0.02,1.2,188,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Belle Isle - Bayou Teche -163,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.717,-91.363,Holocene,avulsion,Single Thread,?,1,,736,,18,,1846,3692,5545,6228,12456,,,41,90,303,3.37,maximum,,41,,,"3,194,756","3,437",,0.02,0.02,1.3,163,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Belle Isle - Bayou Teche 153,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.695,-91.286,Holocene,avulsion,Single Thread,?,1,,675,,15,,1268,2536,5545,2866,5732,,,44,57,130,2.26,maximum,,44,,,"3,194,756","3,447",,0.02,0.02,1.3,153,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Morgan City - Berwick Bay,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.694,-91.188,Holocene,avulsion,Single Thread,Downstream,1,,580,,14,,1444,2888,3034,8316,16632,,,43,68,390,5.76,maximum,,43,,,"3,194,756","3,460",,0.02,0.02,1.3,140,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Morgan City - Bayou Boeuf,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.661,-91.110,Holocene,avulsion,Single Thread,Downstream,1,,508,,9,,1048,2096,5099,4118,8236,,,55,38,150,3.93,intermediate,,,55,,"3,194,756","3,480",,0.02,0.02,1.3,120,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Misssissippi_Teche,Morgan City - Bayou L'ourse,Teche,LA,GOM,USA,NA,Mississippi_Gulf Basin,29.676,-91.031,Holocene,avulsion,Single Thread,Downstream,1,,601,,13,,758,1516,4775,4450,8900,,,47,32,188,5.87,intermediate,,,47,,"3,194,756","3,496",,0.02,0.02,1.3,104,4.4,,Cfa,warm temperate,humid,"Saucier, 1994; Fisk, 1952"
Murrumbidgee_Mund owney,Mundowney,Murrumbidgee_Mund owney,Australia,Australia,Australia,AU,Australia,-35.040,147.136,Holocene,cut-off,Single Thread,,1,2120,60,0.120,7,0.280,950,1900,,420,840,950,420,9,211,93,0.44,,,,,,"84,000",340,,,0.20,2.0,,,650,Cfa,warm temperate,humid,"Page and Nanson, 1982; Page et al., 2003 - 2 year flood"
Ohio,Henderson,Ohio,Ohio,Mississippi Tributitve,USA,NA,Ohio_Gulf Tributive,37.860,-87.634,Holocene,cut-off,Single Thread,Lateral - Translation,1,23100,850,20.000,43,47.000,7290,14580,,8400,,8400,7290,20,729,0,1.15,,,,,,"259,000","1,280",,0.00,0.00,,,,,Cfa,warm temperate,humid,"Walker, 1957_USGS"
Ohio,Evansville,Ohio,Ohio,Mississippi Tributitve,USA,NA,Ohio_Gulf Tributive,37.920,-87.590,Holocene,cut-off,Single Thread,Lateral,1,24430,650,16.000,33,22.000,9500,19000,,6000,,9500,6000,20,950,0,0.63,,,,,,"259,000","1,280",,0.00,0.00,,,,,Cfa,warm temperate,humid,"Walker, 1957_USGS"
Parana,Rosario_City_A3,,Argentina,"South_America
_Foreland",Argentina,SA,South_America_Fore land,-32.774409,-60.703371,Holocene,avulsion,Anabranching,Lateral - Translation,1,8790,1000,8.736,56,9.961,2157,4314,3467,6838,13676,6838,2157,18,240,760,3.17,maximum,,18,,,"2,300,000","2,720",240,0.04,0.04,1.2,,5.4,19500,,,,"Szupiany et al., 2009"
Parana,Rosario_City_B1,,Argentina,"South_America
_Foreland",Argentina,SA,South_America_Fore land,-32.841365,-60.677323,Holocene,avulsion,Anabranching,,1,9017,935,6.062,37,12.656,3620,7240,3467,6162,12324,7240,6162,26,283,481,1.70,maximum,,26,,,"2,300,000","2,720",240,0.04,0.04,1.2,,5.4,19500,,,,"Szupiany et al., 2009"
Peace,1,Peace,Alberta,Mackenzie Tributive,Canada,NA,Mackenzie Tributive,58.675,-113.708,Holocene,cut-off,Single Thread,Lateral - Translation,1,11310,480,5.450,32,5.530,4770,9540,13966,2010,4020,4770,2010,15,636,268,0.42,mean,15,19,,22,"290,000","1,230",170,0.12,0.08,1.5,,5.52452,4805,Dfc,snow,,"Smith et al., 09; Canada water survey: PeacePt"
Peace,2,Peace,Alberta,Mackenzie Tributive,Canada,NA,Mackenzie Tributive,58.593,-113.791,Holocene,cut-off,Single Thread,Lateral - Translation,1,11010,660,7.240,44,7.800,3040,6080,19597,3500,7000,3500,3040,15,405,467,1.15,mean,15,19,,22,"290,000","1,260",140,0.12,0.08,1.5,,,4805,Dfc,snow,,"Smith et al., 09; Canada water survey: PeacePt"
Peace,3,Peace,Alberta,Mackenzie Tributive,Canada,NA,Mackenzie Tributive,58.837,-113.195,Holocene,cut-off,Single Thread,Lateral - Translation,1,11630,450,5.230,30,5.490,4790,9580,17032,1800,3600,4790,1800,15,639,240,0.38,mean,15,19,,22,"290,000","1,260",140,0.12,0.08,1.5,,,4805,Dfc,snow,,"Smith et al., 09; Canada water survey: PeacePt"
Porcupine,Bluefish 1,Porcupine,Alaska,Alaska,USA,NA,Alaska,67.433,-140.290,Holocene,cut-off,Single Thread,Lateral - Translation,1,8170,520,4.250,74,3.080,2560,5120,,1550,3100,2560,1550,7,731,443,0.61,,,,,,"54,837",422,,0.61,0.31,1.8,,,3425,ET,polar,,"Thorson and Dixon, 1983; Lauriol et al., 02; USGS_OldCrow_YT_1962-1995"
Powder River,1,Powder River,Montana,Mississippi Tributtive,USA,NA,Mississippi Tributtive,45.195,-105.752,Holocene,cut-off,Single Thread,Lateral - Translation,1,1950,40,0.079,10,0.274,740,1480,,480,960,740,480,4,370,240,0.65,,,,,,"26,440",302,208,1.64,1.02,1.6,,,135,Bsk,arid,arid,"Pizzuto, 1994"
Powder River,2,Powder River,Montana,Mississippi Tributtive,USA,NA,Mississippi Tributtive,45.156,-105.773,Holocene,cut-off,Single Thread,Lateral - Translation,1,910,60,0.053,15,0.057,330,660,,250,500,330,250,4,165,125,0.76,,,,,,"26,440",208,302,1.64,1.02,1.6,,,135,Bsk,arid,arid,"Pizzuto, 1994"
Powder River,3,Powder River,Montana,Mississippi Tributtive,USA,NA,Mississippi Tributtive,45.214,-105.713,Holocene,cut-off,Single Thread,Lateral,1,1340,60,0.079,15,0.148,510,1020,,530,1060,530,510,4,255,265,1.04,,,,,,"26,440",307,203,1.64,1.02,1.6,,,135,Bsk,arid,arid,"Pizzuto, 1994"
Powder River,4,Powder River,Montana,Mississippi Tributtive,USA,NA,Mississippi Tributtive,45.295,-105.583,Holocene,cut-off,Single Thread,Lateral,1,890,50,0.044,13,0.076,300,600,,380,760,380,300,4,150,190,1.27,,,,,,"26,440",328,182,1.64,1.02,1.6,,,135,Bsk,arid,arid,"Pizzuto, 1994"
Protva,1,Protva,Russia,Russia,Russia,AS,Russia,55.217,36.494,Pleistocene,cut-off,Single Thread,Lateral,1,2990,100,0.299,7,#REF!,1050,2100,,780,1560,1050,780,15,140,104,0.74,mean,15,,,,"2,170",100,410,0.00,0.00,,,,,Dfb,snow,,"Sidorchuk et al., 2003"
Purus,2,Purus,Brazil,Amazon Foreland,Brazil,SA,Amazon Foreland,-8.798,-67.437,Holocene,cut-off,Single Thread,Lateral,1,6520,210,1.400,15,2.140,2690,5380,,1590,3180,2690,1590,14,384,227,0.59,maximum,,14,,,"104,000",715,,0.00,0.00,,,,,Am,equatorial,humid,Latrubesse et al 2002
Purus,4,Purus,Brazil,Amazon Foreland,Brazil,SA,Amazon Foreland,-8.970,-67.840,Holocene,cut-off,Single Thread,Lateral,1,4900,290,1.410,36,1.180,2090,4180,,1000,2000,2090,1000,8,523,250,0.48,mean,8,,,,"104,000",715,,0.00,0.00,,,,,Am,equatorial,humid,Latrubesse et al 2002
Purus,5,Purus,Brazil,Amazon Foreland,Brazil,SA,Amazon Foreland,-8.904,-67.821,Holocene,cut-off,Single Thread,Lateral,1,6560,250,1.660,21,2.830,3010,6020,5338,1420,2840,3010,1420,12,502,237,0.47,maximum,,12,,,"104,000",715,,0.00,0.00,,,,,Am,equatorial,humid,Latrubesse et al 2002
Purus,6,Purus,Brazil,Amazon Foreland,Brazil,SA,Amazon Foreland,-8.951,-67.774,Holocene,cut-off,Single Thread,Lateral,1,3800,190,0.748,16,1.110,1200,2400,,1330,2660,1330,1200,12,200,222,1.11,maximum,,12,,,"104,000",715,,0.00,0.00,,,,,Am,equatorial,humid,Latrubesse et al 2002
Purus,20,Purus,Brazil,Amazon Foreland,Brazil,SA,Amazon Foreland,-8.736,-67.373,Holocene,cut-off,Single Thread,Lateral,1,7000,220,1.520,18,4.010,2820,5640,,1850,3700,2820,1850,12,470,308,0.66,maximum,,12,,,"104,000",715,,0.00,0.00,,,,,Am,equatorial,humid,Latrubesse et al 2002
Red,Ashdown,Red,Louisiana,GOM,USA,NA,Red_Gulf Basin,33.578,-94.147,Holocene,cut-off,Single Thread,Lateral - Translation,1,2920,170,0.495,21,0.587,1360,2720,3557,796,1592,1360,610,8,340,199,0.59,,,,,,"132,313",880,420,0.18,0.10,1.8,430,1.05,2525,Cfa,warm temperate,humid,"Saucier, 1969; Alexandria: 1872-1980"
Red,Beene,Red,Louisiana,GOM,USA,NA,Red_Gulf Basin,32.559,-93.747,Holocene,cut-off,Single Thread,Lateral - Translation,1,7520,270,1.900,15,4.900,2338,4676,3836,3020,6040,3020,2490,18,260,336,1.29,,,,,,"153,185","1,028",272,0.25,0.12,2.1,284,1.05,2525,Cfa,warm temperate,humid,"Harms et al., 1962; Alexandria: 1872-1980"
Red,Boyce_E7,Red,Louisiana,GOM,USA,NA,Red_Gulf Basin,31.302,-92.520,Holocene,cut-off,Single Thread,Lateral,1,,191,,11,,721,1442,,940,1880,,,17,84,109,1.30,maximum,,17,,,"167,683","1,210",90,0.12,0.06,2.0,84,1.05,2525,Cfa,warm temperate,humid,"Saucier, 1994; Alexandria: 1872-1980"
